Retailer,Brand,Family,ExpectedTitle,Link
Macy's,Donna Karan,Cashmere Mist,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-deodorant-1.7-oz?ID=92782
Macy's,Donna Karan,Cashmere Mist,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-1.7-oz?ID=174838
Macy's,Donna Karan,Cashmere Mist,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-3.4-oz?ID=166324
Macy's,Michael Kors,Wonderlust,Michael Kors Wonderlust,https://www.macys.com/shop/product/michael-kors-wonderlust-eau-de-parfum-1.7-oz?ID=2894351
Macy's,Michael Kors,Wonderlust,Michael Kors Wonderlust,https://www.macys.com/shop/product/michael-kors-wonderlust-eau-de-parfum-spray-3.4-oz?ID=2894349
Macy's,Tory Burch,Love Relentlessly,Tory Burch Love Relentlessly,https://www.macys.com/shop/product/tory-burch-love-relentlessly-eau-de-parfum-spray-1.7-oz?ID=4372250
Macy's,Tory Burch,Love Relentlessly,Tory Burch Love Relentlessly,https://www.macys.com/shop/product/tory-burch-love-relentlessly-eau-de-parfum-spray-3.4-oz?ID=4358279
Macy's,Tory Burch,Tory Burch,Tory Burch Eau,https://www.macys.com/shop/product/tory-burch-eau-de-parfum-3.4-oz?ID=1877012
Macy's,Tory Burch,Tory Burch,Tory Burch Eau,https://www.macys.com/shop/product/tory-burch-eau-de-parfum-1.7-oz?ID=1877013
Macy's,Michael Kors,Michael Kors,Michael Kors Eau,https://www.macys.com/shop/product/michael-kors-eau-de-parfum-spray-1.7-oz?ID=60549
Macy's,Michael Kors,Michael Kors,Michael Kors Eau,https://www.macys.com/shop/product/michael-kors-eau-de-parfum-spray-3.4-oz?ID=60550
Macy's,Michael Kors,Michael Kors,Michael Kors Midnight Shimmer,https://www.macys.com/shop/product/michael-kors-midnight-shimmer-eau-de-parfum-spray-1-oz.?ID=4585658
Macy's,Donna Karan,Liquid Cashmere ,Donna Karan Liquid Cashmere Rollerball,https://www.macys.com/shop/product/donna-karan-liquid-cashmere-rollerball-0.3-oz?ID=2073202
Sephora,Donna Karan,Cashmere Mist,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527
Sephora,Donna Karan,Cashmere Mist,Cashmere Mist,http://www.sephora.com/cashmere-mist-eau-de-parfum-P41391?skuId=1082684
Sephora,Donna Karan,Cashmere Mist,Cashmere Mist,http://www.sephora.com/cashmere-mist-eau-de-parfum-P41391?skuId=860940
Sephora,Donna Karan,Cashmere Mist,Cashmere Mist,http://www.sephora.com/cashmere-mist-eau-de-parfum-P41391?skuId=1240241
